"Time  [h]","Conc  [mg/l]"
2.5,0.01861472
3,0.03484848
3.5,0.03398268
4,0.03441558
5,0.02770563
6,0.02424242
7,0.01709957
8,0.01320346
9,0.01233766
19,0.003679654
74.25,0.06064516
74.5,0.05591398
75,0.04451613
75.5,0.03763441
76,0.03225806
77,0.0260215
78,0.02322581
79,0.01870968
80,0.01655914
81,0.01591398
91,0.006451613
122.5,0.02408602
123,0.06172043
123.5,0.06709678
124,0.06086022
125,0.05505376
126,0.0539785
127,0.04129032
128,0.03483871
129,0.03290322
139,0.0139785
